label_number,label_full_name,mean w-score,perc_suprathreshold
1,17Networks_LH_VisCent_ExStr_1,0.813508443771927,15
2,17Networks_LH_VisCent_ExStr_2,0.808221138485794,25
3,17Networks_LH_VisCent_Striate_1,0.221303678442257,0
4,17Networks_LH_VisCent_ExStr_3,0.954793860625791,20
5,17Networks_LH_VisCent_ExStr_4,1.10324128789056,20
6,17Networks_LH_VisCent_ExStr_5,0.750389627550906,10
7,17Networks_LH_VisPeri_ExStrInf_1,0.397042161974007,5
8,17Networks_LH_VisPeri_ExStrInf_2,0.770386666775017,0
9,17Networks_LH_VisPeri_ExStrInf_3,0.464532036897261,10
10,17Networks_LH_VisPeri_StriCal_1,0.575771214001515,0
11,17Networks_LH_VisPeri_ExStrSup_1,0.442979585907317,5
12,17Networks_LH_VisPeri_ExStrSup_2,0.676345462163596,10
13,17Networks_LH_SomMotA_1,0.626001985346654,5
14,17Networks_LH_SomMotA_2,0.268474434751932,0
15,17Networks_LH_SomMotA_3,0.717807350857199,5
16,17Networks_LH_SomMotA_4,0.720262160688736,10
17,17Networks_LH_SomMotA_5,0.66924758992472,15
18,17Networks_LH_SomMotA_6,0.488940382772914,10
19,17Networks_LH_SomMotA_7,0.717809345360928,25
20,17Networks_LH_SomMotA_8,0.727239779710107,15
21,17Networks_LH_SomMotB_Aud_1,0.470881358519828,0
22,17Networks_LH_SomMotB_Aud_2,0.648066903076447,5
23,17Networks_LH_SomMotB_S2_1,0.904073590756158,15
24,17Networks_LH_SomMotB_S2_2,0.525338681193569,10
25,17Networks_LH_SomMotB_Aud_3,0.62798043269168,10
26,17Networks_LH_SomMotB_S2_3,0.689572370858484,15
27,17Networks_LH_SomMotB_Cent_1,0.575808587849103,15
28,17Networks_LH_SomMotB_Cent_2,0.514530930165128,10
29,17Networks_LH_DorsAttnA_TempOcc_1,0.573777810210757,5
30,17Networks_LH_DorsAttnA_TempOcc_2,0.950905115942041,25
31,17Networks_LH_DorsAttnA_ParOcc_1,0.984081356356014,30
32,17Networks_LH_DorsAttnA_SPL_1,0.598124763199452,20
33,17Networks_LH_DorsAttnA_SPL_2,0.155689058684239,10
34,17Networks_LH_DorsAttnA_SPL_3,0.126799346167025,10
35,17Networks_LH_DorsAttnB_PostC_1,0.423593558794696,0
36,17Networks_LH_DorsAttnB_PostC_2,0.371100705576471,0
37,17Networks_LH_DorsAttnB_PostC_3,0.096106330760974,5
38,17Networks_LH_DorsAttnB_PostC_4,0.340742271112645,0
39,17Networks_LH_DorsAttnB_FEF_1,0.507760427950889,0
40,17Networks_LH_SalVentAttnA_ParOper_1,0.712300479802368,10
41,17Networks_LH_SalVentAttnA_Ins_1,0.692337896203903,10
42,17Networks_LH_SalVentAttnA_FrOper_1,0.692878739081486,5
43,17Networks_LH_SalVentAttnA_FrOper_2,0.639277168347808,5
44,17Networks_LH_SalVentAttnA_ParMed_1,0.36109769794642,0
45,17Networks_LH_SalVentAttnA_FrMed_1,0.73694679895764,10
46,17Networks_LH_SalVentAttnA_FrMed_2,0.495146295406881,15
47,17Networks_LH_SalVentAttnB_IPL_1,0.668153964606532,5
48,17Networks_LH_SalVentAttnB_PFCl_1,0.693510909029416,0
49,17Networks_LH_SalVentAttnB_Ins_1,0.454502691258896,5
50,17Networks_LH_SalVentAttnB_PFCmp_1,0.680926350329427,10
51,17Networks_LH_LimbicB_OFC_1,0.842394192262353,10
52,17Networks_LH_LimbicB_OFC_2,1.15287180167747,30
53,17Networks_LH_LimbicA_TempPole_1,0.566604219586274,10
54,17Networks_LH_LimbicA_TempPole_2,0.827057747644585,15
55,17Networks_LH_LimbicA_TempPole_3,0.391288034676117,5
56,17Networks_LH_LimbicA_TempPole_4,0.749886060950178,20
57,17Networks_LH_ContA_Temp_1,0.900611599074123,20
58,17Networks_LH_ContA_IPS_1,0.56035460301425,15
59,17Networks_LH_ContA_IPS_2,0.419368497987584,5
60,17Networks_LH_ContA_IPS_3,0.472450429544504,0
61,17Networks_LH_ContA_PFCd_1,0.372169005564801,10
62,17Networks_LH_ContA_PFClv_1,0.980315082435364,10
63,17Networks_LH_ContA_PFCl_1,0.721346890931783,10
64,17Networks_LH_ContA_PFCl_2,0.607523705194785,10
65,17Networks_LH_ContA_PFCl_3,0.51011544162766,10
66,17Networks_LH_ContA_Cingm_1,0.139839476358715,5
67,17Networks_LH_ContB_Temp_1,0.92775634298736,25
68,17Networks_LH_ContB_IPL_1,0.745421216942842,5
69,17Networks_LH_ContB_PFCl_1,0.218495248701686,5
70,17Networks_LH_ContB_PFClv_1,0.725713276754591,15
71,17Networks_LH_ContB_PFClv_2,0.592095894276187,10
72,17Networks_LH_ContC_pCun_1,0.51648985489515,0
73,17Networks_LH_ContC_pCun_2,0.318224878620638,5
74,17Networks_LH_ContC_Cingp_1,0.242272504882323,5
75,17Networks_LH_DefaultA_IPL_1,1.00184410789475,15
76,17Networks_LH_DefaultA_PFCd_1,0.619861503412716,10
77,17Networks_LH_DefaultA_pCunPCC_1,0.60332548634794,10
78,17Networks_LH_DefaultA_pCunPCC_2,0.433203839294692,15
79,17Networks_LH_DefaultA_pCunPCC_3,0.596238224613806,0
80,17Networks_LH_DefaultA_PFCm_1,0.799702039403264,20
81,17Networks_LH_DefaultA_PFCm_2,0.717498336512183,5
82,17Networks_LH_DefaultA_PFCm_3,0.851529191612182,20
83,17Networks_LH_DefaultB_Temp_1,1.0390441059285,20
84,17Networks_LH_DefaultB_Temp_2,0.858851688793531,20
85,17Networks_LH_DefaultB_Temp_3,0.715895084790525,15
86,17Networks_LH_DefaultB_Temp_4,0.719589670733311,10
87,17Networks_LH_DefaultB_IPL_1,0.811555731219009,10
88,17Networks_LH_DefaultB_PFCd_1,0.608957000856106,5
89,17Networks_LH_DefaultB_PFCd_2,0.443895667522468,5
90,17Networks_LH_DefaultB_PFCd_3,0.873533125443024,20
