Label.ID,Label.Name,R,G,B,Flag
1,LH_VisCent_ExStr_1,120,18,136,0
2,LH_VisCent_ExStr_2,120,18,137,0
3,LH_VisCent_Striate_1,120,18,138,0
4,LH_VisCent_ExStr_3,120,18,139,0
5,LH_VisPeri_ExStrInf_1,255,0,2,0
6,LH_VisPeri_StriCal_1,255,0,3,0
7,LH_VisPeri_ExStrSup_1,255,0,4,0
8,LH_SomMotA_1,70,130,181,0
9,LH_SomMotA_2,70,130,182,0
10,LH_SomMotB_Aud_1,43,204,165,0
11,LH_SomMotB_S2_1,43,204,166,0
12,LH_SomMotB_S2_2,43,204,167,0
13,LH_SomMotB_Cent_1,43,204,168,0
14,LH_DorsAttnA_TempOcc_1,74,156,61,0
15,LH_DorsAttnA_ParOcc_1,74,156,62,0
16,LH_DorsAttnA_SPL_1,74,156,63,0
17,LH_DorsAttnB_PostC_1,0,118,16,0
18,LH_DorsAttnB_PostC_2,0,118,17,0
19,LH_DorsAttnB_PostC_3,0,118,18,0
20,LH_DorsAttnB_FEF_1,0,119,15,0
21,LH_SalVentAttnA_ParOper_1,196,58,251,0
22,LH_SalVentAttnA_Ins_1,196,59,251,0
23,LH_SalVentAttnA_Ins_2,196,59,252,0
24,LH_SalVentAttnA_ParMed_1,196,59,253,0
25,LH_SalVentAttnA_FrMed_1,197,58,251,0
26,LH_SalVentAttnB_PFCl_1,255,153,214,0
27,LH_SalVentAttnB_PFCmp_1,255,151,214,0
28,LH_LimbicB_OFC_1,122,135,51,0
29,LH_LimbicA_TempPole_1,220,248,165,0
30,LH_LimbicA_TempPole_2,220,248,166,0
31,LH_ContA_IPS_1,230,148,36,0
32,LH_ContA_PFCl_1,230,149,36,0
33,LH_ContA_PFCl_2,230,149,37,0
34,LH_ContB_PFClv_1,136,50,75,0
35,LH_ContC_pCun_1,119,140,177,0
36,LH_ContC_pCun_2,119,140,178,0
37,LH_ContC_Cingp_1,119,140,179,0
38,LH_DefaultA_PFCd_1,255,255,2,0
39,LH_DefaultA_pCunPCC_1,255,254,1,0
40,LH_DefaultA_PFCm_1,254,255,1,0
41,LH_DefaultB_Temp_1,205,62,79,0
42,LH_DefaultB_Temp_2,205,62,80,0
43,LH_DefaultB_IPL_1,205,62,81,0
44,LH_DefaultB_PFCd_1,205,63,79,0
45,LH_DefaultB_PFCl_1,205,63,80,0
46,LH_DefaultB_PFCv_1,206,62,79,0
47,LH_DefaultB_PFCv_2,206,62,80,0
48,LH_DefaultC_Rsp_1,0,0,132,0
49,LH_DefaultC_PHC_1,0,1,131,0
50,LH_TempPar_1,9,41,250,0
51,RH_VisCent_ExStr_1,124,19,136,0
52,RH_VisCent_ExStr_2,124,19,137,0
53,RH_VisCent_ExStr_3,124,19,138,0
54,RH_VisPeri_StriCal_1,250,0,2,0
55,RH_VisPeri_ExStrInf_1,250,0,3,0
56,RH_VisPeri_ExStrSup_1,250,0,4,0
57,RH_SomMotA_1,74,131,182,0
58,RH_SomMotA_2,74,131,183,0
59,RH_SomMotA_3,74,131,184,0
60,RH_SomMotA_4,74,131,185,0
61,RH_SomMotB_Aud_1,47,205,165,0
62,RH_SomMotB_S2_1,47,205,166,0
63,RH_SomMotB_S2_2,47,205,167,0
64,RH_SomMotB_Cent_1,47,205,168,0
65,RH_DorsAttnA_TempOcc_1,79,155,62,0
66,RH_DorsAttnA_ParOcc_1,79,155,63,0
67,RH_DorsAttnA_SPL_1,79,155,64,0
68,RH_DorsAttnB_PostC_1,5,118,16,0
69,RH_DorsAttnB_PostC_2,5,118,17,0
70,RH_DorsAttnB_FEF_1,5,119,15,0
71,RH_SalVentAttnA_ParOper_1,200,58,250,0
72,RH_SalVentAttnA_Ins_1,199,58,251,0
73,RH_SalVentAttnA_ParMed_1,199,57,251,0
74,RH_SalVentAttnA_FrMed_1,199,57,252,0
75,RH_SalVentAttnB_IPL_1,250,152,214,0
76,RH_SalVentAttnB_PFCl_1,250,151,214,0
77,RH_SalVentAttnB_PFCmp_1,250,153,214,0
78,RH_LimbicB_OFC_1,126,135,52,0
79,RH_LimbicA_TempPole_1,224,248,166,0
80,RH_ContA_IPS_1,234,147,35,0
81,RH_ContA_PFCl_1,233,148,35,0
82,RH_ContA_PFCl_2,233,148,36,0
83,RH_ContB_Temp_1,140,51,76,0
84,RH_ContB_IPL_1,139,50,74,0
85,RH_ContB_PFCld_1,139,49,75,0
86,RH_ContB_PFClv_1,139,49,74,0
87,RH_ContC_Cingp_1,123,141,177,0
88,RH_ContC_pCun_1,123,141,178,0
89,RH_DefaultA_IPL_1,251,254,2,0
90,RH_DefaultA_PFCd_1,251,255,3,0
91,RH_DefaultA_pCunPCC_1,251,253,1,0
92,RH_DefaultA_PFCm_1,249,255,1,0
93,RH_DefaultB_PFCd_1,210,63,80,0
94,RH_DefaultB_PFCv_1,209,62,78,0
95,RH_DefaultB_PFCv_2,209,62,79,0
96,RH_DefaultC_Rsp_1,5,0,131,0
97,RH_DefaultC_PHC_1,5,0,132,0
98,RH_TempPar_1,16,48,255,0
99,RH_TempPar_2,13,41,250,0
100,RH_TempPar_3,13,41,251,0
