Label.ID,Label.Name,R,G,B,Flag,Label.Name2
1,LH_Vis_1,120,18,129,0,LH_Vis_1
2,LH_Vis_2,120,18,130,0,LH_Vis_2
3,LH_Vis_3,120,18,131,0,LH_Vis_3
4,LH_Vis_4,120,18,132,0,LH_Vis_4
5,LH_Vis_5,120,18,133,0,LH_Vis_5
6,LH_Vis_6,120,18,135,0,LH_Vis_6
7,LH_Vis_7,120,18,136,0,LH_Vis_7
8,LH_Vis_8,120,18,137,0,LH_Vis_8
9,LH_Vis_9,120,18,138,0,LH_Vis_9
10,LH_Vis_10,120,18,139,0,LH_Vis_10
11,LH_Vis_11,120,18,140,0,LH_Vis_11
12,LH_Vis_12,120,18,141,0,LH_Vis_12
13,LH_Vis_13,120,19,134,0,LH_Vis_13
14,LH_Vis_14,120,19,135,0,LH_Vis_14
15,LH_SomMot_1,70,130,174,0,LH_SomMot_1
16,LH_SomMot_2,70,130,175,0,LH_SomMot_2
17,LH_SomMot_3,70,130,176,0,LH_SomMot_3
18,LH_SomMot_4,70,130,177,0,LH_SomMot_4
19,LH_SomMot_5,70,130,178,0,LH_SomMot_5
20,LH_SomMot_6,70,130,179,0,LH_SomMot_6
21,LH_SomMot_7,70,130,181,0,LH_SomMot_7
22,LH_SomMot_8,70,130,182,0,LH_SomMot_8
23,LH_SomMot_9,70,130,183,0,LH_SomMot_9
24,LH_SomMot_10,70,130,184,0,LH_SomMot_10
25,LH_SomMot_11,70,130,185,0,LH_SomMot_11
26,LH_SomMot_12,70,130,186,0,LH_SomMot_12
27,LH_SomMot_13,70,130,187,0,LH_SomMot_13
28,LH_SomMot_14,70,131,180,0,LH_SomMot_14
29,LH_SomMot_15,70,131,181,0,LH_SomMot_15
30,LH_SomMot_16,70,131,182,0,LH_SomMot_16
31,LH_DorsAttn_Post_1,0,118,11,0,LH_DorsAttn_Post_1
32,LH_DorsAttn_Post_2,0,118,12,0,LH_DorsAttn_Post_2
33,LH_DorsAttn_Post_3,0,118,13,0,LH_DorsAttn_Post_3
34,LH_DorsAttn_Post_4,0,118,15,0,LH_DorsAttn_Post_4
35,LH_DorsAttn_Post_5,0,118,16,0,LH_DorsAttn_Post_5
36,LH_DorsAttn_Post_6,0,118,17,0,LH_DorsAttn_Post_6
37,LH_DorsAttn_Post_7,0,118,18,0,LH_DorsAttn_Post_7
