label_number,label_full_name,perc_suprathreshold
1,17Networks_LH_VisCent_ExStr_1,15
2,17Networks_LH_VisCent_ExStr_2,25
3,17Networks_LH_VisCent_Striate_1,0
4,17Networks_LH_VisCent_ExStr_3,20
5,17Networks_LH_VisCent_ExStr_4,20
6,17Networks_LH_VisCent_ExStr_5,10
7,17Networks_LH_VisPeri_ExStrInf_1,5
8,17Networks_LH_VisPeri_ExStrInf_2,0
9,17Networks_LH_VisPeri_ExStrInf_3,10
10,17Networks_LH_VisPeri_StriCal_1,0
11,17Networks_LH_VisPeri_ExStrSup_1,5
12,17Networks_LH_VisPeri_ExStrSup_2,10
13,17Networks_LH_SomMotA_1,5
14,17Networks_LH_SomMotA_2,0
15,17Networks_LH_SomMotA_3,5
16,17Networks_LH_SomMotA_4,10
17,17Networks_LH_SomMotA_5,15
18,17Networks_LH_SomMotA_6,10
19,17Networks_LH_SomMotA_7,25
20,17Networks_LH_SomMotA_8,15
21,17Networks_LH_SomMotB_Aud_1,0
22,17Networks_LH_SomMotB_Aud_2,5
23,17Networks_LH_SomMotB_S2_1,15
24,17Networks_LH_SomMotB_S2_2,10
25,17Networks_LH_SomMotB_Aud_3,10
26,17Networks_LH_SomMotB_S2_3,15
27,17Networks_LH_SomMotB_Cent_1,15
28,17Networks_LH_SomMotB_Cent_2,10
29,17Networks_LH_DorsAttnA_TempOcc_1,5
30,17Networks_LH_DorsAttnA_TempOcc_2,25
31,17Networks_LH_DorsAttnA_ParOcc_1,30
32,17Networks_LH_DorsAttnA_SPL_1,20
33,17Networks_LH_DorsAttnA_SPL_2,10
34,17Networks_LH_DorsAttnA_SPL_3,10
35,17Networks_LH_DorsAttnB_PostC_1,0
36,17Networks_LH_DorsAttnB_PostC_2,0
37,17Networks_LH_DorsAttnB_PostC_3,5
38,17Networks_LH_DorsAttnB_PostC_4,0
39,17Networks_LH_DorsAttnB_FEF_1,0
40,17Networks_LH_SalVentAttnA_ParOper_1,10
41,17Networks_LH_SalVentAttnA_Ins_1,10
42,17Networks_LH_SalVentAttnA_FrOper_1,5
43,17Networks_LH_SalVentAttnA_FrOper_2,5
44,17Networks_LH_SalVentAttnA_ParMed_1,0
45,17Networks_LH_SalVentAttnA_FrMed_1,10
46,17Networks_LH_SalVentAttnA_FrMed_2,15
47,17Networks_LH_SalVentAttnB_IPL_1,5
48,17Networks_LH_SalVentAttnB_PFCl_1,0
49,17Networks_LH_SalVentAttnB_Ins_1,5
50,17Networks_LH_SalVentAttnB_PFCmp_1,10
51,17Networks_LH_LimbicB_OFC_1,10
52,17Networks_LH_LimbicB_OFC_2,30
53,17Networks_LH_LimbicA_TempPole_1,10
54,17Networks_LH_LimbicA_TempPole_2,15
55,17Networks_LH_LimbicA_TempPole_3,5
56,17Networks_LH_LimbicA_TempPole_4,20
57,17Networks_LH_ContA_Temp_1,20
58,17Networks_LH_ContA_IPS_1,15
59,17Networks_LH_ContA_IPS_2,5
60,17Networks_LH_ContA_IPS_3,0
61,17Networks_LH_ContA_PFCd_1,10
62,17Networks_LH_ContA_PFClv_1,10
63,17Networks_LH_ContA_PFCl_1,10
64,17Networks_LH_ContA_PFCl_2,10
65,17Networks_LH_ContA_PFCl_3,10
66,17Networks_LH_ContA_Cingm_1,5
67,17Networks_LH_ContB_Temp_1,25
68,17Networks_LH_ContB_IPL_1,5
69,17Networks_LH_ContB_PFCl_1,5
70,17Networks_LH_ContB_PFClv_1,15
71,17Networks_LH_ContB_PFClv_2,10
72,17Networks_LH_ContC_pCun_1,0
73,17Networks_LH_ContC_pCun_2,5
74,17Networks_LH_ContC_Cingp_1,5
75,17Networks_LH_DefaultA_IPL_1,15
76,17Networks_LH_DefaultA_PFCd_1,10
77,17Networks_LH_DefaultA_pCunPCC_1,10
78,17Networks_LH_DefaultA_pCunPCC_2,15
79,17Networks_LH_DefaultA_pCunPCC_3,0
80,17Networks_LH_DefaultA_PFCm_1,20
81,17Networks_LH_DefaultA_PFCm_2,5
82,17Networks_LH_DefaultA_PFCm_3,20
83,17Networks_LH_DefaultB_Temp_1,20
84,17Networks_LH_DefaultB_Temp_2,20
85,17Networks_LH_DefaultB_Temp_3,15
86,17Networks_LH_DefaultB_Temp_4,10
87,17Networks_LH_DefaultB_IPL_1,10
88,17Networks_LH_DefaultB_PFCd_1,5
89,17Networks_LH_DefaultB_PFCd_2,5
90,17Networks_LH_DefaultB_PFCd_3,20
91,17Networks_LH_DefaultB_PFCd_4,5
92,17Networks_LH_DefaultB_PFCv_1,10
93,17Networks_LH_DefaultB_PFCv_2,10
94,17Networks_LH_DefaultB_PFCv_3,15
95,17Networks_LH_DefaultB_PFCv_4,10
96,17Networks_LH_DefaultC_IPL_1,10
97,17Networks_LH_DefaultC_Rsp_1,10
98,17Networks_LH_DefaultC_PHC_1,0
99,17Networks_LH_TempPar_1,5
100,17Networks_LH_TempPar_2,15
101,17Networks_RH_VisCent_ExStr_1,10
102,17Networks_RH_VisCent_ExStr_2,30
103,17Networks_RH_VisCent_Striate_1,15
104,17Networks_RH_VisCent_ExStr_3,30
105,17Networks_RH_VisCent_ExStr_4,30
106,17Networks_RH_VisCent_ExStr_5,25
107,17Networks_RH_VisPeri_ExStrInf_1,20
108,17Networks_RH_VisPeri_ExStrInf_2,15
109,17Networks_RH_VisPeri_StriCal_1,5
110,17Networks_RH_VisPeri_ExStrSup_1,5
111,17Networks_RH_VisPeri_ExStrSup_2,20
112,17Networks_RH_VisPeri_ExStrSup_3,10
113,17Networks_RH_SomMotA_1,5
114,17Networks_RH_SomMotA_2,15
115,17Networks_RH_SomMotA_3,25
116,17Networks_RH_SomMotA_4,25
117,17Networks_RH_SomMotA_5,5
118,17Networks_RH_SomMotA_6,20
119,17Networks_RH_SomMotA_7,20
120,17Networks_RH_SomMotA_8,10
121,17Networks_RH_SomMotA_9,10
122,17Networks_RH_SomMotA_10,35
123,17Networks_RH_SomMotA_11,25
124,17Networks_RH_SomMotB_Aud_1,15
125,17Networks_RH_SomMotB_Aud_2,15
126,17Networks_RH_SomMotB_S2_1,10
127,17Networks_RH_SomMotB_S2_2,10
128,17Networks_RH_SomMotB_S2_3,10
129,17Networks_RH_SomMotB_S2_4,15
